Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 2, nFeatures = 7000

feature |          frame
        |                   0                   1
--------+-----------------------------------------
    114 | (964.0,748.0)= 1550 (952.8,751.0)=    0 
    115 | (251.0,247.0)= 1548 (248.3,248.0)=    0 
    116 | (653.0,600.0)= 1547 (655.7,611.8)=    0 
    117 | ( 82.0,836.0)= 1544 ( -1.0, -1.0)=   -5 
    118 | ( 48.0,371.0)= 1542 ( 46.7,371.9)=    0 
    119 | (753.0,604.0)= 1536 ( -1.0, -1.0)=   -5 
    120 | (401.0,632.0)= 1532 ( -1.0, -1.0)=   -3 
    121 | (113.0,596.0)= 1531 (113.0,597.6)=    0 
    122 | (109.0,590.0)= 1518 ( -1.0, -1.0)=   -5 
    123 | ( 96.0,318.0)= 1518 ( -1.0, -1.0)=   -3 
    124 | (551.0,157.0)= 1517 (548.6,156.8)=    0 
    125 | (299.0,577.0)= 1516 (308.4,574.7)=    0 
    126 | (699.0,416.0)= 1514 ( -1.0, -1.0)=   -3 
    127 | (671.0,154.0)= 1504 ( -1.0, -1.0)=   -5 
    128 | (390.0,469.0)= 1498 (390.4,464.0)=    0 
    129 | (892.0,207.0)= 1497 ( -1.0, -1.0)=   -5 
    130 | (574.0,472.0)= 1496 (559.9,466.4)=    0 
    131 | ( 33.0,943.0)= 1488 ( -1.0, -1.0)=   -4 
    132 | (709.0,432.0)= 1487 (707.8,435.4)=    0 
    133 | (388.0,474.0)= 1483 (386.9,470.4)=    0 
    134 | (149.0,819.0)= 1481 ( -1.0, -1.0)=   -5 
    135 | (596.0,275.0)= 1476 ( -1.0, -1.0)=   -5 
    136 | (787.0,732.0)= 1475 ( -1.0, -1.0)=   -5 
    137 | (170.0,536.0)= 1473 ( -1.0, -1.0)=   -5 
    138 | ( 30.0,723.0)= 1468 ( 35.4,724.0)=    0 
    139 | (525.0,659.0)= 1462 (507.7,632.8)=    0 
    140 | (703.0,439.0)= 1462 (657.2,432.3)=    0 
    141 | (1005.0,882.0)= 1461 ( -1.0, -1.0)=   -4 
    142 | ( 38.0,944.0)= 1460 ( -1.0, -1.0)=   -5 
    143 | (266.0,375.0)= 1458 (264.3,376.1)=    0 
    144 | (788.0,235.0)= 1452 ( -1.0, -1.0)=   -3 
    145 | ( 48.0,949.0)= 1447 ( 48.8,951.7)=    0 
    146 | (851.0,265.0)= 1433 ( -1.0, -1.0)=   -5 
    147 | (971.0,809.0)= 1433 (969.2,808.8)=    0 
    148 | (325.0,104.0)= 1423 (325.1,104.0)=    0 
    149 | (555.0,110.0)= 1419 ( -1.0, -1.0)=   -3 
    150 | (200.0,610.0)= 1416 ( -1.0, -1.0)=   -5 
    151 | (457.0,604.0)= 1415 ( -1.0, -1.0)=   -3 
    152 | (171.0,186.0)= 1407 (168.6,189.6)=    0 
    153 | ( 26.0,802.0)= 1403 ( 33.3,802.6)=    0 
    154 | (546.0,757.0)= 1398 ( -1.0, -1.0)=   -5 
    155 | (944.0,570.0)= 1396 ( -1.0, -1.0)=   -3 
    156 | (626.0,471.0)= 1390 (625.8,478.7)=    0 
    157 | (490.0, 91.0)= 1390 (486.5, 84.0)=    0 
    158 | (940.0,726.0)= 1390 ( -1.0, -1.0)=   -5 
    159 | (369.0,754.0)= 1388 ( -1.0, -1.0)=   -5 
    160 | (391.0, 23.0)= 1388 ( -1.0, -1.0)=   -3 
    161 | (422.0,616.0)= 1386 ( -1.0, -1.0)=   -5 
    162 | (212.0,831.0)= 1386 ( -1.0, -1.0)=   -3 
    163 | ( 48.0,923.0)= 1381 ( 52.1,920.9)=    0 
    164 | (692.0, 42.0)= 1381 (692.1, 43.4)=    0 
    165 | (872.0,307.0)= 1375 ( -1.0, -1.0)=   -5 
    166 | (748.0,604.0)= 1374 (742.5,621.4)=    0 
    167 | (957.0, 62.0)= 1372 (955.2, 59.6)=    0 
    168 | (584.0,201.0)= 1371 ( -1.0, -1.0)=   -3 
    169 | ( 40.0,722.0)= 1368 ( -1.0, -1.0)=   -5 
    170 | (1000.0,917.0)= 1362 ( -1.0, -1.0)=   -3 
    171 | (534.0,593.0)= 1360 (533.9,574.1)=    0 
    172 | (241.0,803.0)= 1360 ( -1.0, -1.0)=   -5 
    173 | (324.0,736.0)= 1357 ( -1.0, -1.0)=   -5 
    174 | (323.0, 99.0)= 1353 (323.0, 99.3)=    0 
    175 | (576.0,204.0)= 1349 (575.2,203.0)=    0 
    176 | (232.0,298.0)= 1348 (222.0,308.0)=    0 
    177 | (992.0,938.0)= 1342 ( -1.0, -1.0)=   -4 
    178 | (681.0,474.0)= 1338 (690.2,482.2)=    0 
    179 | (184.0,776.0)= 1337 (195.5,792.3)=    0 
    180 | (777.0,648.0)= 1331 (780.4,643.9)=    0 
    181 | (907.0,877.0)= 1330 ( -1.0, -1.0)=   -5 
    182 | (938.0, 18.0)= 1327 ( -1.0, -1.0)=   -5 
    183 | (644.0,529.0)= 1321 ( -1.0, -1.0)=   -5 
    184 | ( 35.0,117.0)= 1321 ( -1.0, -1.0)=   -3 
    185 | (458.0,857.0)= 1320 (455.1,853.8)=    0 
    186 | (963.0,467.0)= 1320 ( -1.0, -1.0)=   -3 
    187 | (529.0,511.0)= 1320 (536.2,519.9)=    0 
    188 | (838.0,631.0)= 1317 (835.3,630.1)=    0 
    189 | (1002.0,943.0)= 1316 ( -1.0, -1.0)=   -5 
    190 | (323.0,660.0)= 1315 ( -1.0, -1.0)=   -5 
    191 | (621.0,469.0)= 1302 ( -1.0, -1.0)=   -5 
    192 | (599.0,831.0)= 1298 ( -1.0, -1.0)=   -5 
    193 | (179.0,289.0)= 1293 (182.3,293.1)=    0 
    194 | (422.0, 93.0)= 1292 ( -1.0, -1.0)=   -5 
    195 | ( 26.0,320.0)= 1289 ( 25.3,324.2)=    0 
    196 | ( 53.0,793.0)= 1287 ( -1.0, -1.0)=   -3 
    197 | ( 90.0,793.0)= 1284 ( -1.0, -1.0)=   -5 
    198 | (622.0,182.0)= 1283 (599.7,192.6)=    0 
    199 | (901.0,587.0)= 1279 ( -1.0, -1.0)=   -5 
    200 | (1001.0,923.0)= 1277 ( -1.0, -1.0)=   -4 
    201 | (915.0,880.0)= 1276 (909.6,877.8)=    0 
    202 | (373.0,439.0)= 1275 ( -1.0, -1.0)=   -3 
    203 | (169.0, 84.0)= 1273 ( -1.0, -1.0)=   -3 
    204 | (319.0,296.0)= 1272 ( -1.0, -1.0)=   -3 
    205 | (884.0,640.0)= 1267 ( -1.0, -1.0)=   -5 
    206 | (717.0,436.0)= 1267 ( -1.0, -1.0)=   -3 
    207 | ( 47.0,448.0)= 1264 ( -1.0, -1.0)=   -5 
    208 | (316.0,365.0)= 1262 ( -1.0, -1.0)=   -3 
    209 | (370.0,522.0)= 1260 (363.5,518.6)=    0 
    210 | (984.0,410.0)= 1258 (983.5,409.2)=    0 
    211 | (313.0,991.0)= 1257 (320.7,996.2)=    0 
    212 | (942.0, 25.0)= 1256 ( -1.0, -1.0)=   -4 
    213 | (768.0,264.0)= 1256 ( -1.0, -1.0)=   -3 
    214 | ( 31.0,545.0)= 1252 ( -1.0, -1.0)=   -5 
    215 | (988.0,943.0)= 1249 ( -1.0, -1.0)=   -4 
    216 | (784.0,559.0)= 1244 (771.3,561.4)=    0 
    217 | (808.0,492.0)= 1244 (800.6,492.7)=    0 
    218 | (818.0,975.0)= 1242 (811.6,972.7)=    0 
    219 | (213.0,924.0)= 1228 ( -1.0, -1.0)=   -5 
    220 | (189.0,285.0)= 1221 (185.0,284.7)=    0 
    221 | (806.0,960.0)= 1221 (794.9,965.3)=    0 
    222 | (570.0,169.0)= 1219 ( -1.0, -1.0)=   -5 
    223 | ( 50.0,644.0)= 1218 ( 63.0,652.2)=    0 
    224 | ( 33.0,138.0)= 1218 ( 31.3,137.4)=    0 
    225 | (405.0,121.0)= 1218 (403.5, 98.4)=    0 
    226 | (326.0,163.0)= 1217 ( -1.0, -1.0)=   -5 
    227 | (181.0,267.0)= 1210 ( -1.0, -1.0)=   -5 
    228 | (344.0,268.0)= 1210 (349.8,272.3)=    0 
    229 | (837.0,1004.0)= 1206 ( -1.0, -1.0)=   -4 
    230 | (914.0,314.0)= 1205 (904.6,324.8)=    0 
    231 | (893.0,991.0)= 1203 ( -1.0, -1.0)=   -3 
    232 | (308.0,184.0)= 1203 ( -1.0, -1.0)=   -5 
    233 | (558.0, 22.0)= 1195 ( -1.0, -1.0)=   -3 
    234 | ( 67.0,790.0)= 1195 ( 89.9,790.5)=    0 
